loan_amnt,term,annual_inc,dti,fico_score,inq_last_6mths,delinq_2yrs,open_acc,pub_rec,revol_bal,revol_util,total_acc,emp_length,loan_to_income,fico_dti_ratio,credit_age_proxy,delinq_pub_sum,log_annual_inc,log_revol_bal,home_ownership,purpose,verification_status,addr_state,llm_employment_stability,llm_income_confidence,llm_debt_stress_signal,llm_repayment_intent_score,llm_urgency_flag,llm_financial_literacy_signal,llm_purpose_clarity,llm_future_orientation,loan_idx,y
-0.014561641,-0.18782154,-0.066157304,0.07879203,-0.2775969,0.013697635,0.008448708,-0.04616224,-0.0041985037,0.117850505,-0.0700384,-0.11135324,-0.0057947207,-0.20565881,-0.11111688,-0.43649104,-0.033038247,-0.062187444,0.04073351,0.21769495,0.12567608,0.07566056,-0.06304872,-0.277838,-0.4855154,0.009430051,0.08374739,0.12189913,-0.1255627,-0.018986017,0.004621937,926,0
0.008826517,-0.1996251,-0.021583695,0.07620775,0.19302215,0.022938251,0.0013341409,0.029189575,0.0022787591,0.05482012,0.021220878,0.038743217,-0.07058575,0.010950434,0.053503994,0.23095065,0.0173112,-0.006685717,0.0074676066,0.14349878,-0.003406738,0.031934917,4.492514e-05,0.052994978,0.04054056,-0.034724977,0.15400018,0.33861387,-0.025558483,0.0079476265,0.060056258,3049,1
0.16576938,0.583315,-0.05222038,-0.031676777,0.0013597717,-0.045377593,0.0015477696,-0.066022076,0.0003162224,-0.25085658,0.0036317594,0.026326818,0.057978645,-0.042135783,-0.080373034,0.011793797,0.014074101,-0.034762092,-0.046172954,-0.28638062,-0.10237377,0.046844915,0.08375963,-0.10026665,-0.27561897,0.006906345,0.016104069,-0.28845105,0.08593962,-0.00374189,-0.061179947,1117,0
0.16878185,-0.2084929,-0.28574592,0.24598292,-0.38782755,0.06441047,-0.0003230477,-0.05005376,0.00069440634,0.028785625,-0.03142564,-0.09851221,-0.10775907,-0.08488588,-0.04764005,-0.28211018,0.01731484,-0.059681825,-0.019915707,-0.2379576,-0.008388626,0.03653659,-0.013487534,0.06735286,-0.42459017,-0.026230253,-0.04028022,-0.079196066,-0.03507614,0.04908608,0.07487074,642,0
0.2884801,-0.23924993,-0.017110078,0.028653964,-0.018289605,0.02618896,0.002399492,0.12595154,-0.00053836306,-0.052561574,-0.049541026,-0.007023182,0.18607253,-0.09570339,0.03669258,-0.0027766095,-0.0031455155,-0.025506023,-0.02711328,-0.1938314,-0.081979975,0.019056976,0.0972308,0.13439976,0.039615724,-0.10027885,-0.00013102143,0.35483682,0.06493096,-0.074102305,0.11233248,4767,1
0.17957462,-0.23406431,-0.062808245,-0.0053892126,0.10232456,-0.03566648,0.0041759773,-0.04953944,0.00049607304,-0.26829782,0.026977167,-0.09285619,-0.051168047,0.010389753,-0.05869189,-0.33972812,-0.037659336,-0.02528426,-0.06793511,-0.21010588,-0.13273126,0.0272808,0.052902345,-0.10123729,7.348112e-05,0.055262957,0.035425685,-0.08338603,0.1373226,-0.04983964,0.024049405,501,0
-0.016776439,-0.2495927,0.087516956,-0.037803445,0.16572978,-0.04274019,0.0008915617,-0.07391741,-0.011478027,-0.017749082,0.017750002,-0.011565545,0.025225481,-0.080813855,-0.0656495,-0.05934507,-0.042329036,0.015970126,-0.022144957,-0.15150861,-0.098335125,0.08089405,0.120087236,-0.020293254,-0.10785918,0.030081723,0.017016547,-0.2661456,-0.026449401,-0.049749903,-0.045796283,4066,1
-0.01474755,-0.22343053,-0.04807702,-0.04563333,-0.59635174,0.016191239,1.394139e-05,-0.052798927,0.0049864785,-0.016469182,-0.10595294,0.010533943,0.059584986,-0.09203783,-0.09688291,-0.057566047,0.01833951,-0.0034076148,0.0043679597,-0.198278,-0.080451325,-0.20134129,-0.10074759,-0.06803573,-0.16666916,-0.068388365,-0.284468,-0.20732696,-0.027340725,-0.04697782,0.04786186,333,0
0.21913406,0.53577644,0.012728191,-0.040217564,0.0722482,0.40766165,0.0014049677,-0.12013653,0.030864086,-0.04501341,-0.006340964,-0.030133946,-0.04632918,0.03128056,-0.06070559,0.11239235,-0.008095043,0.027355246,-0.011337218,-0.19530413,0.16794263,0.06371965,-0.025175247,-0.013299609,0.067535095,0.07425844,0.13907811,0.45010856,-0.09499551,-0.11649304,0.06336896,4684,1
-0.036498792,-0.2642024,-0.0001044368,-0.009126155,0.16748717,0.026636723,0.0011505663,-0.05755289,0.0021335871,0.026148744,-0.0002863592,0.0507229,0.013726637,-0.18507914,0.10842425,0.06497685,0.01555678,-0.005726162,-0.015816638,-0.10152256,0.0056228563,0.066270605,0.016578846,-0.027622644,0.011496956,0.0767265,0.0324338,0.21171993,-0.046792835,-0.10538675,-0.048833504,486,0
